rank_pr,rank_wr,rank_wr_vs50,rank_pr_slope,rank_pr_avg3,rank_pr_peak,vct_pr_last,vct_wr_last,vct_pr_avg,vct_pre_n,vct_profile,vct_pr_peak_all,vct_pr_slope,rank_vct_gap,n_total_patches,n_nerf_patches,n_buff_patches,acts_since_patch,last_direction,last_combined,last_rank_verdict,last_vct_verdict,last_max_skill_w,last_trigger_type,recent_dual_miss_count,recent_buff_fail_count,patch_streak,patch_streak_direction,map_dep_score,top_map_in_rotation,effective_map_dep,map_explains_vct_drop,pro_rank_ratio,agent_team_synergy,agent_complexity,agent_replaceability,design_rank_only,design_pro_only,rank_low_unexpected,vct_low_unexpected,both_weak_signal,kit_score,has_smoke,has_cc,has_info,has_mobility,has_heal,has_revive,high_value_smoke,high_value_cc,kit_pr_gap,replaceable_low_pr,low_kit_weak_signal,agent_tier_score,tier_gap,op_synergy,geo_synergy,geo_bonus,smoke_vct_dom,mobility_rank_dom,kit_x_rank_pr,heal_low_rank,revive_low_rank,info_low_vct,cc_low_rank,smoke_low_vct,rank_dominant_flag,skill_ceiling_score,pro_dominant_flag,map_versatility,map_hhi,map_specialist,specialist_low_pr,versatile_nerf_signal,rank_pr_vs_peak,buff_miss_flag,nerf_miss_flag,buff_hit_flag,nerf_hit_flag,dir_verdict_code,strength_vs_direction,agent,act,act_idx,label,label_direction,label_skill,label_trigger,label_context,label_has_rework,label_group
1.857,47.41,-2.5900000000000034,0.4175,1.7086666666666668,5.171,6.5,33.3,7.966666666666666,13,pro_viable,31.6,-1.0999999999999996,-6.109666666666666,3,3,0,5,nerf,PRO_FAIL,HIT,MISS,3.0,rank,0,0,3,nerf,3.089,0,0.0,3.089,3.500269251480883,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1286,0.0,0.0,3,0.5,0.0,1.0,0.0,0.65,0.0,1.3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.1526,0.0,0.0,0.315,0.35911815896345,0.0,0.0,0.0,0.0,-0.5,2.5900000000000034,Astra,E9A3,22,stable_balanced,none,none,none,none,0.0,stable
1.789,46.69,-3.3100000000000023,-0.22900000000000031,1.9643333333333333,5.171,6.3,83.3,3.633333333333333,17,pro_marginal,31.6,1.8499999999999996,-1.844333333333333,3,3,0,6,nerf,PRO_FAIL,HIT,MISS,3.0,rank,0,0,3,nerf,3.049,0,0.0,3.049,3.5215204024594744,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1422,0.0,0.0,3,0.5,0.0,1.0,0.0,0.63,0.0,1.252,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.1515,0.0,0.0,0.304,0.3459678978920905,0.0,0.0,0.0,0.0,-0.5,3.3100000000000023,Astra,E10A1,23,stable_balanced,none,none,none,none,0.0,stable
1.536,47.36,-2.6400000000000006,-0.1605000000000002,1.7273333333333334,5.171,8.7,37.5,5.666666666666667,18,pro_viable,31.6,3.3499999999999996,-4.1306666666666665,3,3,0,7,nerf,PRO_FAIL,HIT,MISS,3.0,rank,0,0,3,nerf,4.004,0,0.0,4.004,5.664062499999999,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1928,0.0,0.0,3,0.5,0.0,1.0,0.0,0.8699999999999999,0.0,1.075,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.254,1.0,1.0,0.229,0.2970411912589441,0.0,0.0,0.0,0.0,-0.5,2.6400000000000006,Astra,E10A2,24,stable_balanced,none,none,none,none,0.0,stable
1.325,47.46,-2.539999999999999,-0.23200000000000007,1.55,5.171,8.9,46.7,5.5,22,pro_viable,31.6,2.3499999999999996,-4.175,3,3,0,8,nerf,PRO_FAIL,HIT,MISS,3.0,rank,0,0,3,nerf,4.259,0,0.0,4.259,6.716981132075472,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.235,0.0,0.0,3,0.5,0.0,1.0,0.0,0.89,0.0,0.927,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.2976,1.0,1.0,0.186,0.25623670469928445,0.0,0.0,0.0,0.0,-0.5,2.539999999999999,Astra,E10A3,25,stable_balanced,none,none,none,none,0.0,stable
0.376,46.38,-3.6199999999999974,-0.5800000000000002,1.079,5.171,6.2,75.0,6.166666666666667,23,pro_viable,31.6,1.4000000000000008,-5.790666666666667,3,3,0,9,nerf,PRO_FAIL,HIT,MISS,3.0,rank,0,0,3,nerf,2.138,0,0.0,2.138,12.4,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.4248,0.0,0.0,3,0.5,0.0,1.0,0.0,0.62,0.0,0.263,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0401,0.0,0.0,0.072,0.07271320827692902,0.0,0.0,0.0,0.0,-0.5,3.6199999999999974,Astra,E11A1,26,stable,,,,,,stable
0.794,46.77,-3.229999999999997,-0.26550000000000024,0.8316666666666667,5.171,12.2,47.6,9.1,24,pro_viable,31.6,1.6499999999999972,-8.306,3,3,0,10,nerf,PRO_FAIL,HIT,MISS,3.0,rank,0,0,3,nerf,3.386,1,3.386,0.0,15.365239294710326,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.3412,0.0,0.0,3,0.5,0.0,1.0,0.0,1.22,0.0,0.556,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.1625,0.0,0.0,0.133,0.1535486366273448,0.0,0.0,0.0,0.0,-0.5,3.229999999999997,Astra,E11A2,27,stable_balanced,none,none,none,none,0.0,stable
1.278,46.53,-3.469999999999999,0.45100000000000007,0.816,5.171,19.0,45.0,17.599999999999998,32,pro_staple,46.7,0.09999999999999762,-16.322,3,3,0,11,nerf,PRO_FAIL,HIT,MISS,3.0,rank,0,0,3,nerf,3.106,1,3.106,0.0,14.86697965571205,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.2444,0.0,0.0,3,0.5,0.0,1.0,0.0,1.9,0.0,0.895,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.1597,0.0,0.0,0.215,0.24714755366466834,0.0,0.0,0.0,0.0,-0.5,3.469999999999999,Astra,E11A3,28,buff_E_rank,buff,E,rank,first,,buff
1.807,46.92,-3.0799999999999983,0.5065,1.293,5.171,38.1,44.4,17.566666666666666,39,pro_staple,46.7,17.699999999999996,-15.759666666666666,4,4,0,0,nerf,MIXED,MISS,OVERSHOOT,3.0,rank,0,0,4,nerf,2.256,1,2.256,0.0,21.084670724958496,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1386,0.0,0.0,3,0.5,0.0,1.0,0.0,3.0,0.0,1.265,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0891,0.0,0.0,0.329,0.3494488493521562,0.0,0.0,0.0,0.0,-0.5,3.0799999999999983,Astra,E12A1,29,stable_strong,none,none,none,none,0.0,stable
1.421,48.21,-1.7899999999999991,0.07150000000000017,1.502,5.171,4.5,33.3,18.166666666666668,40,pro_staple,46.7,-3.6999999999999944,-16.74566666666667,4,4,0,1,nerf,MIXED,MISS,OVERSHOOT,3.0,rank,0,0,4,nerf,2.506,1,2.506,0.0,3.1667839549612946,1.0,1.0,0.4,0.0,1.0,0.0,1.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.2157999999999998,0.0,0.0,3,0.5,0.0,1.0,0.0,0.45,0.0,0.995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.1131,0.0,0.0,0.252,0.2748017791529685,0.0,0.0,0.0,0.0,-0.5,1.7899999999999991,Astra,V26A2,30,stable_balanced,none,none,none,none,0.0,stable
2.087,42.97,-7.030000000000001,0.0,2.087,2.087,0.0,,0.0,0,pro_absent,0.0,0.0,,0,0,0,99,none,UNKNOWN,NO_DATA,NO_DATA,2.0,rank,0,0,0,none,1.0,1,1.0,0.0,0.0,1.0,0.8,0.3,0.0,1.0,0.0,1.0,0.0,3.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3326,0.0,0.0,2,1.75,0.0,0.0,0.0,0.0,0.0,1.565,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,5.0,0.3,0.0,0.0,0.292,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Breach,E2A1,0,stable_balanced,none,none,none,none,0.0,stable
