act,map,agent,uuid,matches,win_rate,kd
E7A1,Ascent,Brimstone,9f0d8ba9-4140-b941-57d3-a7ad57c6b417,36025,52.87,0.0
E7A1,Ascent,Fade,dade69b4-4f5a-8528-247b-219e5a1facd6,11618,48.94,0.0
E7A1,Ascent,Omen,8e253930-4c05-31dd-1b6c-968525494517,96362,49.05,0.0
E7A1,Ascent,Neon,bb2a4828-46eb-8cd1-e765-15848195d751,3961,46.88,0.0
E7A1,Ascent,Sage,569fdd95-4d10-43ab-ca70-79becc718b46,33215,51.38,0.0
E7A1,Ascent,Phoenix,eb93336a-449b-9c1b-0a54-a891f7921d69,24085,52.64,0.0
E7A1,Ascent,Viper,707eab51-4836-f488-046a-cda6bf494859,2869,48.2,0.0
E7A1,Ascent,Yoru,7f94d92c-4234-0a36-9646-3a87eb8b5c89,6419,47.55,0.0
E7A1,Ascent,Breach,5f8d3a7f-467b-97f3-062c-13acf203c006,9027,48.48,0.0
E7A1,Ascent,Deadlock,cc8b64c8-4b25-4ff9-6e7f-37b4da43d235,20244,49.34,0.0
E7A1,Ascent,Harbor,95b78ed7-4637-86d9-7e41-71ba8c293152,1069,45.56,0.0
E7A1,Ascent,Chamber,22697a3d-45bf-8dd7-4fec-84a9e28c69d7,24934,48.24,0.0
E7A1,Ascent,Reyna,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,73804,50.75,0.0
E7A1,Ascent,Gekko,e370fa57-4757-3604-3648-499e1f642d3f,5627,46.45,0.0
E7A1,Ascent,Skye,6f2a04ca-43e0-be17-7f36-b3908627744d,27467,49.43,0.0
E7A1,Ascent,Sova,320b2a48-4d9b-a075-30f1-1f93a9b638fa,92305,50.86,0.0
E7A1,Ascent,Killjoy,1e58de9c-4950-5125-93e9-a0aee9f98746,77071,50.04,0.0
E7A1,Ascent,Kayo,601dbbe7-43ce-be57-2a40-4abd24953621,31728,45.83,0.0
E7A1,Ascent,Astra,41fb69c1-4189-7b37-f117-bcaf1e96f1bf,15576,50.76,0.0
E7A1,Ascent,Raze,f94c3b30-42be-e959-889c-5aa313dba261,33578,50.18,0.0
